word;lemma
samples;sample
chair;chair
centuries;century
pair;pair
dog;dog
evolution;evolution
director;director
noise;noise
injury;injury
employee;employee
debt;debt
unity;unity
exposure;exposure
arguments;argument
exception;exception
institution;institution
interview;interview
duties;duty
atmosphere;atmosphere
notice;notice
extension;extension
chain;chain
camp;camp
velocity;velocity
muscle;muscle
signal;signal
territory;territory
store;store
societies;society
instrument;instrument
infection;infection
conference;conference
particles;particle
languages;language
request;request
meetings;meeting
debate;debate
afternoon;afternoon
tool;tool
dinner;dinner
readers;reader
roles;role
amounts;amount
profit;profit
necessity;necessity
users;user
measurement;measurement
garden;garden
devices;device
heads;head
host;host
neck;neck
university;university
motor;motor
regulations;regulation
parent;parent
household;household
pictures;picture
farmers;farmer
commitment;commitment
ships;ship
budget;budget
democracy;democracy
perception;perception
implications;implication
tube;tube
lands;land
customers;customer
separation;separation
worker;worker
dream;dream
sugar;sugar
van;van
managers;manager
mechanisms;mechanism
birds;bird
circuit;circuit
artist;artist
partner;partner
regulation;regulation
arrangement;arrangement
limit;limit
root;root
participants;participant
trip;trip
domain;domain
instances;instance
proof;proof
transformation;transformation
silence;silence
anxiety;anxiety
translation;translation
errors;error
advance;advance
newspaper;newspaper
train;train
stream;stream
instruments;instrument
flowers;flower
illness;illness
medicine;medicine
sky;sky
route;route
ball;ball
wine;wine
mountain;mountain
centre;centre
breath;breath
mixture;mixture
depression;depression
impression;impression
fruit;fruit
resource;resource
item;item
customer;customer
spot;spot
horses;horse
wages;wage
decades;decade
payments;payment
equations;equation
salt;salt
lady;lady
measurements;measurement
foundation;foundation
skill;skill
sheet;sheet
challenge;challenge
gift;gift
kitchen;kitchen
delivery;delivery
card;card
towns;town
session;session
weather;weather
fingers;finger
possession;possession
flight;flight
phrase;phrase
contributions;contribution
survival;survival
references;reference
journey;journey
vessels;vessel
weapons;weapon
cultures;culture
dimensions;dimension
channel;channel
qualities;quality
virtue;virtue
arrangements;arrangement
editor;editor
border;border
directions;direction
decade;decade
decline;decline
considerations;consideration
conception;conception
requirement;requirement
wage;wage
victory;victory
variations;variation
enterprise;enterprise
minority;minority
presentation;presentation
expectations;expectation
possibilities;possibility
developments;development
answers;answer
telephone;telephone
minister;minister
diseases;disease
films;film
roots;root
proposal;proposal
shoulder;shoulder
prison;prison
judge;judge
losses;loss
cup;cup
imagination;imagination
achievement;achievement
prayer;prayer
symbol;symbol
lips;lip
link;link
profits;profit
limitations;limitation
scholars;scholar
chest;chest
minds;mind
waters;water
anger;anger
bond;bond
cover;cover
stars;star
comments;comment
discourse;discourse
trend;trend
classification;classification
minute;minute
sons;son
scientists;scientist
tables;table
climate;climate
assumptions;assumption
disorder;disorder
windows;window
shop;shop
summary;summary
engine;engine
fluid;fluid
bonds;bond
scores;score
diameter;diameter
heaven;heaven
fuel;fuel
paragraph;paragraph
disorders;disorder
owners;owner
reflection;reflection
county;county
kids;kid
mountains;mountain
strain;strain
molecules;molecule
compensation;compensation
membrane;membrane
joy;joy
meat;meat
hotel;hotel
beam;beam
removal;removal
brothers;brother
aim;aim
waste;waste
jurisdiction;jurisdiction
metal;metal
employer;employer
offices;office
liability;liability
average;average
discussions;discussion
machines;machine
conclusions;conclusion
revenue;revenue
mothers;mother
arrival;arrival
temperatures;temperature
conversion;conversion
gun;gun
colleagues;colleague
villages;village
burden;burden
punishment;punishment
occupation;occupation
estimates;estimate
artists;artist
promise;promise
muscles;muscle
council;council
row;row
cards;card
proteins;protein
score;score
accident;accident
loan;loan
elections;election
travel;travel
blocks;block
hole;hole
diet;diet
constitution;constitution
opinions;opinion
essence;essence
painting;paint
breast;breast
plot;plot
track;track
sake;sake
vessel;vessel
nurse;nurse
chief;chief
magnitude;magnitude
poems;poem
entrance;entrance
choices;choice
diversity;diversity
coal;coal
males;male
murder;murder
faculty;faculty
guide;guide
clause;clause
victim;victim
snow;snow
residents;resident
dimension;dimension
pounds;pound
layers;layer
fate;fate
electron;electron
symbols;symbol
dance;dance
factory;factory
sphere;sphere
vote;vote
newspapers;newspaper
adjustment;adjustment
grass;grass
doors;door
messages;message
physician;physician
temple;temple
fault;fault
complexity;complexity
partners;partner
attacks;attack
responsibilities;responsibility
tongue;tongue
landscape;landscape
cotton;cotton
emotions;emotion
negotiations;negotiation
display;display
pressures;pressure
button;button
candidate;candidate
suit;suit
loans;loan
conflicts;conflict
utility;utility
roof;roof
execution;execution
dreams;dream
secretary;secretary
expenditure;expenditure
surfaces;surface
channels;channel
shoulders;shoulder
consent;consent
witness;witness
laboratory;laboratory
crops;crop
restrictions;restriction
occasions;occasion
signals;signal
valley;valley
profession;profession
priest;priest
emergency;emergency
lawyer;lawyer
desk;desk
obligation;obligation
wire;wire
diagram;diagram
camera;camera
kingdom;kingdom
columns;column
sounds;sound
eggs;egg
star;star
bus;bus
fraction;fraction
treaty;treaty
dogs;dog
victims;victim
stores;store
players;player
estimate;estimate
export;export
acquisition;acquisition
candidates;candidate
suggestion;suggestion
vice;vice
magazine;magazine
agreements;agreement
segment;segment
generations;generation
mood;mood
testimony;testimony
chamber;chamber
deposits;deposit
copper;copper
passion;passion
volumes;volume
sciences;science
trends;trend
enterprises;enterprise
driver;driver
departments;department
curves;curve
exports;export
analyses;analysis
operator;operator
humanity;humanity
colors;color
gate;gate
modes;mode
transaction;transaction
links;link
decrease;decrease
schedule;schedule
province;province
experts;expert
prisoners;prisoner
bird;bird
particle;particle
mistake;mistake
substances;substance
friendship;friendship
bones;bone
actors;actor
servants;servant
pupils;pupil
hat;hat
convention;convention
transactions;transaction
doctors;doctor
finger;finger
conviction;conviction
obligations;obligation
tons;ton
crop;crop
statute;statute
civilization;civilization
proposals;proposal
speaker;speaker
residence;residence
apartment;apartment
moon;moon
migration;migration
preference;preference
influences;influence
foods;food
club;club
entity;entity
verse;verse
grade;grade
worship;worship
divisions;division
cat;cat
guns;gun
universities;university
habits;habit
pairs;pair
dialogue;dialogue
player;player
phases;phase
islands;island
stones;stone
meal;meal
tissues;tissue
slope;slope
habit;habit
mirror;mirror
uncertainty;uncertainty
indication;indication
inquiry;inquiry
sports;sport
coat;coat
fund;fund
evil;evil
returns;return
promotion;promotion
spirits;spirit
theatre;theatre
scenes;scene
profile;profile
recommendations;recommendation
plates;plate
empire;empire
locations;location
occurrence;occurrence
judges;judge
employers;employer
stuff;stuff
guy;guy
weakness;weakness
securities;security
shadow;shadow
dispute;dispute
citizen;citizen
disk;disk
glory;glory
crew;crew
suggestions;suggestion
lesions;lesion
comment;comment
honor;honor
sectors;sector
dollar;dollar
clay;clay
lesson;lesson
organisation;organisation
discharge;discharge
manuscript;manuscript
intent;intent
professor;professor
publications;publication
ions;ion
correspondence;correspondence
departure;departure
directors;director
gifts;gift
emotion;emotion
acres;acre
soldier;soldier
interviews;interview
chart;chart
inventory;inventory
calculations;calculation
businesses;business
margin;margin
dozen;dozen
ion;ion
contacts;contact
descriptions;description
investments;investment
throat;throat
definitions;definition
attorney;attorney
beach;beach
electrons;electron
wives;wife
port;port
spaces;space
artery;artery
fever;fever
enthusiasm;enthusiasm
lists;list
calculation;calculation
households;household
bottle;bottle
tip;tip
assignment;assignment
yield;yield
photographs;photograph
corn;corn
ties;tie
immigrants;immigrant
pipe;pipe
controversy;controversy
servant;servant
harm;harm
holes;hole
guard;guard
male;male
visitors;visitor
lessons;lesson
drink;drink
tract;tract
politicians;politician
filter;filter
bands;band
myth;myth
usage;usage
infants;infant
origins;origin
tribes;tribe
favour;favour
segments;segment
teams;team
praise;praise
stomach;stomach
producers;producer
versions;version
investigations;investigation
passages;passage
shore;shore
peasants;peasant
suicide;suicide
hospitals;hospital
desert;desert
fibers;fiber
bases;basis
economies;economy
fears;fear
carrier;carrier
sacrifice;sacrifice
peak;peak
sympathy;sympathy
dates;date
harmony;harmony
excess;excess
pilot;pilot
fragments;fragment
priests;priest
scales;scale
deficiency;deficiency
proposition;proposition
rays;ray
truck;truck
challenges;challenge
remarks;remark
environments;environment
pace;pace
tour;tour
sessions;session
admission;admission
innovation;innovation
exceptions;exception
excitement;excitement
web;web
inspection;inspection
dignity;dignity
restaurant;restaurant
wedding;wedding
alliance;alliance
hopes;hope
defects;defect
shot;shot
actor;actor
guests;guest
daughters;daughter
succession;succession
physicians;physician
sisters;sister
damages;damage
count;count
crimes;crime
sequences;sequence
lots;lot
grant;grant
salary;salary
injection;injection
illustration;illustration
lung;lung
lawyers;lawyer
mouse;mouse
provinces;province
shirt;shirt
bars;bar
warning;warning
fathers;father
votes;vote
lens;lens
farms;farm
defeat;defeat
egg;egg
ministers;minister
infant;infant
knees;knee
expenditures;expenditure
asset;asset
clock;clock
accumulation;accumulation
clouds;cloud
sheets;sheet
tank;tank
cord;cord
calls;call
deviation;deviation
violation;violation
rubber;rubber
railroad;railroad
bits;bit
colleges;college
committees;committee
farmer;farmer
ceremony;ceremony
physics;physic
ladies;lady
knife;knife
codes;code
combinations;combination
fortune;fortune
metals;metal
injuries;injury
attachment;attachment
fruits;fruit
ideal;ideal
molecule;molecule
peasant;peasant
nodes;node
prospect;prospect
railway;railway
declaration;declaration
soils;soil
barrier;barrier
ministry;ministry
demonstration;demonstration
manufacturers;manufacturer
advances;advance
photograph;photograph
traits;trait
modification;modification
neighbors;neighbor
repair;repair
publisher;publisher
planes;plane
perceptions;perception
disaster;disaster
targets;target
barriers;barrier
powder;powder
witnesses;witness
infections;infection
chains;chain
reproduction;reproduction
explanations;explanation
creatures;creature
rhythm;rhythm
cloud;cloud
beer;beer
centres;centre
interpretations;interpretation
stroke;stroke
exploration;exploration
motives;motive
representations;representation
beds;bed
entities;entity
collections;collection
weapon;weapon
creature;creature
premises;premise
ratios;ratio
nurses;nurse
makers;maker
rows;row
operators;operator
distress;distress
sword;sword
mineral;mineral
shops;shop
bedroom;bedroom
affection;affection
portions;portion
palace;palace
foundations;foundation
suffering;suffer
portrait;portrait
requests;request
stem;stem
label;label
grants;grant
node;node
tragedy;tragedy
legislature;legislature
deck;deck
lover;lover
territories;territory
chances;chance
fabric;fabric
deaths;death
aggression;aggression
stairs;stair
preferences;preference
canal;canal
inspiration;inspiration
expedition;expedition
limitation;limitation
terror;terror
angles;angle
fiber;fiber
stocks;stock
mill;mill
uncle;uncle
similarity;similarity
perspectives;perspective
corruption;corruption
kings;king
healing;heal
glance;glance
horizon;horizon
bowl;bowl
surveys;survey
proportions;proportion
sport;sport
disputes;dispute
flag;flag
vein;vein
reception;reception
mention;mention
exercises;exercise
pot;pot
mice;mouse
treatments;treatment
museum;museum
amendment;amendment
farming;far
grades;grade
expectation;expectation
entertainment;entertainment
speakers;speaker
masters;master
episode;episode
compromise;compromise
patent;patent
ceiling;ceiling
invention;invention
revenues;revenue
tumor;tumor
bath;bath
streams;stream
phrases;phrase
suspicion;suspicion
nights;night
disposition;disposition
voters;voter
trace;trace
cabinet;cabinet
complications;complication
grief;grief
escape;escape
distances;distance
correction;correction
manufacturer;manufacturer
factories;factory
con;con
ideals;ideal
tribe;tribe
honour;honour
shelter;shelter
award;award
defect;defect
certainty;certainty
assault;assault
editors;editor
revelation;revelation
buyer;buyer
tubes;tube
timber;timber
craft;craft
camps;camp
emission;emission
continent;continent
sensation;sensation
flower;flower
companion;companion
penalty;penalty
spouse;spouse
magazines;magazine
deposit;deposit
disability;disability
preparations;preparation
gesture;gesture
switch;switch
stranger;stranger
strains;strain
planet;planet
producer;producer
guest;guest
destination;destination
petition;petition
piano;piano
aims;aim
entries;entry
pupil;pupil
cavity;cavity
prediction;prediction
prospects;prospect
projection;projection
mercy;mercy
specification;specification
tumors;tumor
metaphor;metaphor
analogy;analogy
guys;guy
objection;objection
comparisons;comparison
settlements;settlement
philosophers;philosopher
mistakes;mistake
knee;knee
pension;pension
supporters;supporter
restriction;restriction
restoration;restoration
dangers;danger
studio;studio
certificate;certificate
motive;motive
borders;border
engagement;engagement
encouragement;encouragement
failures;failure
routes;route
settlers;settler
installation;installation
commands;command
prince;prince
horror;horror
rulers;ruler
fur;fur
brick;brick
administrators;administrator
achievements;achievement
juice;juice
grammar;grammar
decay;decay
meals;meal
ports;port
minerals;mineral
spots;spot
scholar;scholar
flame;flame
assertion;assertion
cousin;cousin
prayers;prayer
gardens;garden
hostility;hostility
ruler;ruler
prisoner;prisoner
inheritance;inheritance
seller;seller
conventions;convention
lecture;lecture
virtues;virtue
organisations;organisation
ancestors;ancestor
performances;performance
clubs;club
tracks;track
illustrations;illustration
babies;baby
couples;couple
mix;mix
passengers;passenger
devotion;devotion
philosopher;philosopher
engines;engine
kid;kid
dawn;dawn
scholarship;scholarship
attraction;attraction
assurance;assurance
gases;gas
tanks;tank
trunk;trunk
rope;rope
incentives;incentive
speeches;speech
grandfather;grandfather
tide;tide
tendencies;tendency
boss;boss
invitation;invitation
shadows;shadow
lamp;lamp
prejudice;prejudice
proceeds;proceed
lord;lord
pitch;pitch
weights;weight
meters;meter
consultation;consultation
chloride;chloride
rod;rod
bishop;bishop
venture;venture
chicken;chicken
basin;basin
termination;termination
clerk;clerk
incomes;income
realities;reality
carriers;carrier
bomb;bomb
circuits;circuit
religions;religion
grandmother;grandmother
repetition;repetition
jail;jail
deposition;deposition
depths;depth
induction;induction
practitioners;practitioner
illusion;illusion
occupations;occupation
perfection;perfection
elevation;elevation
combat;combat
refugees;refugee
legend;legend
revision;revision
specialists;specialist
container;container
associates;associate
fracture;fracture
curiosity;curiosity
kidney;kidney
lectures;lecture
cabin;cabin
chairs;chair
scientist;scientist
destiny;destiny
mechanics;mechanic
disturbance;disturbance
trap;trap
disciples;disciple
obstacles;obstacle
mask;mask
severity;severity
frames;frame
photo;photo
plots;plot
campaigns;campaign
modifications;modification
specifications;specification
mortgage;mortgage
debts;debt
rail;rail
inequality;inequality
exhibition;exhibition
accommodation;accommodation
principal;principal
implication;implication
statutes;statute
arrow;arrow
encounter;encounter
carriage;carriage
conversations;conversation
emperor;emperor
painter;painter
trips;trip
neighbor;neighbor
lungs;lung
automobile;automobile
manifestations;manifestation
peers;peer
charity;charity
contradiction;contradiction
distinctions;distinction
bow;bow
pole;pole
fantasy;fantasy
disclosure;disclosure
castle;castle
fragment;fragment
remark;remark
specialist;specialist
stake;stake
stresses;stress
birthday;birthday
cylinder;cylinder
cult;cult
gates;gate
convenience;convenience
veins;vein
alarm;alarm
cents;cent
passenger;passenger
exile;exile
conquest;conquest
adventure;adventure
battery;battery
delegates;delegate
founder;founder
architect;architect
counties;county
audiences;audience
fluctuations;fluctuation
adjustments;adjustment
manipulation;manipulation
tin;tin
lesion;lesion
debates;debate
voyage;voyage
reach;reach
histories;history
accidents;accident
cow;cow
corners;corner
domains;domain
holiday;holiday
jacket;jacket
landing;landing
reviews;review
shaft;shaft
assistant;assistant
gear;gear
cups;cup
concert;concert
minorities;minority
signature;signature
blade;blade
husbands;husband
recommendation;recommendation
caution;caution
fatigue;fatigue
leather;leather
verses;verse
taxpayer;taxpayer
bride;bride
reinforcement;reinforcement
objections;objection
traders;trader
similarities;similarity
disturbances;disturbance
airport;airport
offence;offence
rage;rage
membranes;membrane
revolt;revolt
calendar;calendar
conferences;conference
participant;participant
guards;guard
aspirations;aspiration
prosecution;prosecution
qualifications;qualification
competitors;competitor
retreat;retreat
negotiation;negotiation
pile;pile
estates;estate
visitor;visitor
ingredients;ingredient
predictions;prediction
deduction;deduction
fires;fire
explosion;explosion
bench;bench
peaks;peak
lengths;length
spin;spin
profiles;profile
designer;designer
chiefs;chief
pound;pound
dishes;dish
nest;nest
ambition;ambition
lip;lip
propositions;proposition
pause;pause
contraction;contraction
oppression;oppression
ridge;ridge
parliament;parliament
indications;indication
reporter;reporter
cheek;cheek
delegation;delegation
beans;bean
exchanges;exchange
clauses;clause
gradient;gradient
investigators;investigator
celebration;celebration
struggles;struggle
yields;yield
angels;angel
wilderness;wilderness
printer;printer
inference;inference
transfers;transfer
charts;chart
panic;panic
coins;coin
manifestation;manifestation
bear;bear
breach;breach
marriages;marriage
episodes;episode
dish;dish
surgeon;surgeon
speculation;speculation
drivers;driver
courtesy;courtesy
supervisor;supervisor
salaries;salary
orbit;orbit
pit;pit
palm;palm
margins;margin
ray;ray
administrator;administrator
meter;meter
impressions;impression
promises;promise
secretion;secretion
burial;burial
deals;deal
maker;maker
refuge;refuge
comedy;comedy
doctrines;doctrine
tunnel;tunnel
romance;romance
disadvantage;disadvantage
contest;contest
misery;misery
fan;fan
cake;cake
shots;shot
luxury;luxury
traces;trace
skull;skull
counts;count
spheres;sphere
pathway;pathway
basket;basket
commitments;commitment
seasons;season
motions;motion
ticket;ticket
grip;grip
prize;prize
musicians;musician
revival;revival
pack;pack
decree;decree
temples;temple
strangers;stranger
tones;tone
sculpture;sculpture
pains;pain
quotation;quotation
incentive;incentive
judgement;judgement
wagon;wagon
printing;print
tips;tip
battles;battle
holder;holder
slopes;slope
fort;fort
restaurants;restaurant
weaknesses;weakness
circumstance;circumstance
contractor;contractor
composer;composer
angel;angel
biography;biography
balls;ball
companions;companion
spine;spine
legacy;legacy
dissertation;dissertation
lovers;lover
troubles;trouble
recreation;recreation
cheeks;cheek
tourist;tourist
shelf;shelf
arrows;arrow
examinations;examination
joke;joke
obstruction;obstruction
immunity;immunity
faults;fault
gang;gang
saints;saint
tomb;tomb
meditation;meditation
discount;discount
oath;oath
assignments;assignment
resident;resident
poles;pole
offense;offense
ceremonies;ceremony
aunt;aunt
sketch;sketch
waist;waist
paragraphs;paragraph
labels;label
festival;festival
editions;edition
receipt;receipt
careers;career
nationalist;nationalist
coin;coin
treaties;treaty
expert;expert
publishers;publisher
innovations;innovation
transitions;transition
counterparts;counterpart
disabilities;disability
liabilities;liability
dependency;dependency
imitation;imitation
tenants;tenant
affinity;affinity
mills;mill
wit;wit
query;query
buyers;buyer
hotels;hotel
posture;posture
mess;mess
psychologists;psychologist
myths;myth
temper;temper
kindness;kindness
accord;accord
pencil;pencil
altar;altar
possessions;possession
rifle;rifle
sanctions;sanction
cats;cat
injustice;injustice
drops;drop
computation;computation
tenure;tenure
conceptions;conception
funeral;funeral
breasts;breast
packet;packet
handle;handle
graduates;graduate
contention;contention
arteries;artery
concessions;concession
theorists;theorist
confession;confession
educators;educator
addresses;address
blanket;blanket
manuscripts;manuscript
bishops;bishop
assessments;assessment
hut;hut
monks;monk
partition;partition
lion;lion
prohibition;prohibition
acquaintance;acquaintance
announcement;announcement
treasure;treasure
excellence;excellence
disappointment;disappointment
sickness;sickness
gospel;gospel
cows;cow
derivatives;derivative
cottage;cottage
temptation;temptation
doorway;doorway
amendments;amendment
bottles;bottle
beams;beam
bull;bull
passions;passion
plantation;plantation
dividends;dividend
tune;tune
supper;supper
trick;trick
pepper;pepper
workshop;workshop
fans;fan
sediments;sediment
reservoir;reservoir
tie;tie
trains;train
trustee;trustee
disadvantages;disadvantage
drum;drum
debtor;debtor
pathways;pathway
surrender;surrender
electrode;electrode
boom;boom
fluids;fluid
reflections;reflection
sums;sum
wake;wake
arc;arc
ladder;ladder
drinks;drink
generator;generator
journalists;journalist
collector;collector
phosphate;phosphate
professors;professor
ink;ink
soup;soup
projections;projection
violations;violation
appearances;appearance
gallery;gallery
snake;snake
floors;floor
transformations;transformation
heights;height
schedules;schedule
reservation;reservation
conductor;conductor
translations;translation
advocates;advocate
probabilities;probability
resemblance;resemblance
resentment;resentment
obstacle;obstacle
trucks;truck
jaw;jaw
contradictions;contradiction
emissions;emission
premium;premium
diagrams;diagram
straw;straw
compositions;composition
rites;rite
alterations;alteration
fractions;fraction
sediment;sediment
wires;wire
dynasty;dynasty
alteration;alteration
covenant;covenant
buttons;button
stack;stack
stretch;stretch
liquor;liquor
paradox;paradox
pigs;pig
councils;council
demonstrations;demonstration
successes;success
deviations;deviation
survivors;survivor
learners;learner
microscope;microscope
visions;vision
creditors;creditor
suits;suit
bibliography;bibliography
multitude;multitude
chapel;chapel
flames;flame
dealer;dealer
lap;lap
attainment;attainment
drift;drift
charter;charter
summit;summit
corps;corps
instructor;instructor
displays;display
tender;tender
trait;trait
wrist;wrist
discomfort;discomfort
exemption;exemption
offenders;offender
warriors;warrior
catalogue;catalogue
pottery;pottery
reservations;reservation
sauce;sauce
sexes;sex
pine;pine
hint;hind
mistress;mistress
appetite;appetite
bladder;bladder
filters;filter
freight;freight
villagers;villager
pipes;pipe
collision;collision
agitation;agitation
globe;globe
inscription;inscription
holders;holder
reverse;reverse
intimacy;intimacy
intuition;intuition
disagreement;disagreement
rescue;rescue
gestures;gesture
journalist;journalist
inflammation;inflammation
chocolate;chocolate
criticisms;criticism
counterpart;counterpart
verdict;verdict
regiment;regiment
professions;profession
apple;apple
plea;plea
neighbours;neighbour
photos;photo
salts;salt
tourists;tourist
reporters;reporter
collar;collar
horn;horn
valleys;valley
coup;coup
coil;coil
pastor;pastor
migrants;migrant
navy;navy
resolutions;resolution
guides;guide
fractures;fracture
rebels;rebel
bundle;bundle
altitude;altitude
politician;politician
lock;lock
decoration;decoration
colleague;colleague
believers;believer
premise;premise
oils;oil
clan;clan
hosts;host
dictionary;dictionary
saint;saint
shield;shield
reductions;reduction
practitioner;practitioner
bunch;bunch
textile;textile
chambers;chamber
fibres;fibre
holidays;holiday
spray;spray
bounds;bound
convictions;conviction
cane;cane
inclination;inclination
pin;pin
barn;barn
monarchy;monarchy
procession;procession
gauge;gauge
tenant;tenant
curtain;curtain
containers;container
glimpse;glimpse
ton;ton
symptom;symptom
deficiencies;deficiency
thinkers;thinker
